Date_start,Power_kW,Hour,DayOfWeek,Holiday,Power-1,temp_C,solarRad_W/m2
2017-03-09 00:00:00,138.4082063,0,3,False,139.8232836,17.185833333333335,0.07375
2017-03-09 01:00:00,137.9452347,1,3,False,138.4082063,15.9675,0.17516666666666666
2017-03-09 02:00:00,136.4169261,2,3,False,137.9452347,15.6575,0.16833333333333336
2017-03-09 03:00:00,136.6500863,3,3,False,136.4169261,15.189166666666665,0.20058333333333334
2017-03-09 04:00:00,134.3565769,4,3,False,136.6500863,14.07583333333333,0.5630833333333334
2017-03-09 05:00:00,137.1289647,5,3,False,134.3565769,13.268333333333336,0.5584166666666667
2017-03-09 06:00:00,150.620652,6,3,False,137.1289647,12.629166666666665,1.4978333333333333
2017-03-09 07:00:00,185.743285,7,3,False,150.620652,12.454999999999998,70.39416666666666
2017-03-09 08:00:00,235.3467571,8,3,False,185.743285,13.661666666666667,252.17500000000004
2017-03-09 09:00:00,290.8606519,9,3,False,235.3467571,14.662500000000001,440.24999999999994
2017-03-09 10:00:00,284.5153038,10,3,False,290.8606519,16.1325,594.475
2017-03-09 11:00:00,304.8261944,11,3,False,284.5153038,18.65833333333333,701.3666666666667
2017-03-09 12:00:00,295.0280242,12,3,False,304.8261944,20.339166666666664,748.25
2017-03-09 13:00:00,290.7024211,13,3,False,295.0280242,22.589166666666667,741.0833333333334
2017-03-09 14:00:00,310.7133848,14,3,False,290.7024211,23.8125,669.9916666666667
2017-03-09 15:00:00,317.8810726,15,3,False,310.7133848,24.459166666666665,543.1916666666667
2017-03-09 16:00:00,289.5313876,16,3,False,317.8810726,24.702499999999997,372.7749999999999
2017-03-09 17:00:00,263.6591867,17,3,False,289.5313876,24.41416666666667,180.00000000000003
2017-03-09 18:00:00,233.4203599,18,3,False,263.6591867,23.02,23.126333333333335
2017-03-09 19:00:00,188.6180205,19,3,False,233.4203599,21.17083333333333,0.49816666666666665
2017-03-09 20:00:00,146.7908806,20,3,False,188.6180205,21.170833333333334,0.5305
2017-03-09 21:00:00,138.5528326,21,3,False,146.7908806,21.103333333333335,0.42450000000000004
2017-03-09 22:00:00,132.4929697,22,3,False,138.5528326,20.419999999999998,0.4821666666666667
2017-03-09 23:00:00,131.8267678,23,3,False,132.4929697,18.9725,0.46141666666666664
2017-03-10 00:00:00,128.4731539,0,4,False,131.8267678,17.8975,0.37599999999999995
2017-03-10 01:00:00,127.0501232,1,4,False,128.4731539,17.700833333333332,0.35541666666666666
2017-03-10 02:00:00,126.0283206,2,4,False,127.0501232,16.89666666666667,0.35533333333333333
2017-03-10 03:00:00,124.2672704,3,4,False,126.0283206,14.851666666666667,0.6414999999999998
2017-03-10 04:00:00,123.604208,4,4,False,124.2672704,13.789166666666667,0.7890833333333332
2017-03-10 05:00:00,127.4205842,5,4,False,123.604208,13.404999999999996,0.6993333333333335
2017-03-10 06:00:00,141.5931244,6,4,False,127.4205842,13.249999999999998,1.6478333333333335
2017-03-10 07:00:00,165.064445,7,4,False,141.5931244,13.316666666666668,80.33500000000001
2017-03-10 08:00:00,213.1167948,8,4,False,165.064445,14.078333333333333,259.23333333333335
2017-03-10 09:00:00,254.8037037,9,4,False,213.1167948,15.764166666666666,440.28333333333336
2017-03-10 10:00:00,276.1158855,10,4,False,254.8037037,18.04416666666667,606.075
2017-03-10 11:00:00,284.9709499,11,4,False,276.1158855,19.664166666666663,716.9833333333332
2017-03-10 12:00:00,285.2719233,12,4,False,284.9709499,21.72,705.1166666666667
2017-03-10 13:00:00,290.7664669,13,4,False,285.2719233,21.599166666666665,756.6666666666666
2017-03-10 14:00:00,306.1832956,14,4,False,290.7664669,22.103333333333335,673.5333333333333
2017-03-10 15:00:00,299.5486949,15,4,False,306.1832956,22.23166666666667,547.8916666666667
2017-03-10 16:00:00,274.9191081,16,4,False,299.5486949,22.284166666666668,371.6833333333334
2017-03-10 17:00:00,243.5496427,17,4,False,274.9191081,20.631666666666664,174.4
2017-03-10 18:00:00,204.1286156,18,4,False,243.5496427,18.590833333333332,20.75541666666667
2017-03-10 19:00:00,178.2122524,19,4,False,204.1286156,17.866666666666667,0.46366666666666667
2017-03-10 20:00:00,152.3214238,20,4,False,178.2122524,17.8,0.3346666666666666
2017-03-10 21:00:00,138.7301097,21,4,False,152.3214238,16.825833333333335,0.39441666666666664
2017-03-10 22:00:00,131.5825147,22,4,False,138.7301097,16.442500000000003,0.43849999999999995
2017-03-10 23:00:00,130.4443413,23,4,False,131.5825147,15.856153846153848,0.4493076923076923
2017-03-11 00:00:00,121.1200263,0,5,False,130.4443413,15.219999999999999,0.7914166666666667
2017-03-11 01:00:00,119.1115835,1,5,False,121.1200263,14.933333333333332,0.8720833333333333
2017-03-11 02:00:00,117.5690425,2,5,False,119.1115835,14.5225,0.78925
2017-03-11 03:00:00,122.0641786,3,5,False,117.5690425,13.871666666666668,0.6646666666666667
2017-03-11 04:00:00,124.8030784,4,5,False,122.0641786,13.675833333333332,0.7106666666666666
2017-03-11 05:00:00,126.2395043,5,5,False,124.8030784,14.116666666666665,0.6738333333333334
2017-03-11 06:00:00,136.6990625,6,5,False,126.2395043,14.184166666666664,1.1769166666666668
2017-03-11 07:00:00,130.9274057,7,5,False,136.6990625,14.254166666666668,31.124999999999996
2017-03-11 08:00:00,128.3379461,8,5,False,130.9274057,14.4375,162.175
2017-03-11 09:00:00,123.4736048,9,5,False,128.3379461,14.728333333333332,306.9916666666666
2017-03-11 10:00:00,122.9313085,10,5,False,123.4736048,14.82416666666667,390.80833333333334
2017-03-11 11:00:00,122.302362,11,5,False,122.9313085,15.8675,585.6666666666666
2017-03-11 12:00:00,123.9166929,12,5,False,122.302362,15.845833333333337,653.725
2017-03-11 13:00:00,123.4518376,13,5,False,123.9166929,15.99333333333333,574.4083333333334
2017-03-11 14:00:00,125.4908382,14,5,False,123.4518376,16.85333333333333,503.34999999999997
2017-03-11 15:00:00,137.6557728,15,5,False,125.4908382,15.567500000000003,329.98333333333335
2017-03-11 16:00:00,138.4291363,16,5,False,137.6557728,15.638333333333334,363.175
2017-03-11 17:00:00,134.7111311,17,5,False,138.4291363,14.925833333333335,164.335
2017-03-11 18:00:00,135.1787073,18,5,False,134.7111311,13.64333333333333,25.719666666666665
2017-03-11 19:00:00,137.5354253,19,5,False,135.1787073,13.020000000000001,0.7590833333333334
2017-03-11 20:00:00,134.0447199,20,5,False,137.5354253,12.657499999999999,0.5561666666666666
2017-03-11 21:00:00,129.3402838,21,5,False,134.0447199,12.390833333333333,0.6023333333333333
2017-03-11 22:00:00,132.2457864,22,5,False,129.3402838,12.040833333333332,0.7317499999999999
2017-03-11 23:00:00,130.9504287,23,5,False,132.2457864,11.903333333333334,0.5585000000000001
2017-03-12 00:00:00,131.4604928,0,6,False,130.9504287,11.715000000000002,0.5931666666666666
2017-03-12 01:00:00,127.449049,1,6,False,131.4604928,11.3975,0.5124166666666666
2017-03-12 02:00:00,126.3305498,2,6,False,127.449049,11.199166666666665,0.6185833333333334
2017-03-12 03:00:00,115.9132702,3,6,False,126.3305498,11.403333333333334,0.5353333333333333
2017-03-12 04:00:00,114.8192591,4,6,False,115.9132702,11.620833333333332,0.15925000000000003
2017-03-12 05:00:00,114.7711201,5,6,False,114.8192591,11.725,0.02783333333333334
2017-03-12 06:00:00,113.2281605,6,6,False,114.7711201,12.124166666666667,1.1951666666666665
2017-03-12 07:00:00,111.8078507,7,6,False,113.2281605,12.638333333333334,85.27000000000001
2017-03-12 08:00:00,112.7120267,8,6,False,111.8078507,13.4925,250.14166666666668
2017-03-12 09:00:00,111.098533,9,6,False,112.7120267,13.873333333333335,261.8333333333333
2017-03-12 10:00:00,112.7283521,10,6,False,111.098533,14.7525,525.6583333333334
2017-03-12 11:00:00,115.1675343,11,6,False,112.7283521,15.4,649.3083333333333
2017-03-12 12:00:00,117.3065803,12,6,False,115.1675343,15.370833333333332,703.9416666666666
2017-03-12 13:00:00,118.3453362,13,6,False,117.3065803,15.115,756.6999999999999
2017-03-12 14:00:00,117.4438811,14,6,False,118.3453362,14.851666666666667,688.7999999999998
2017-03-12 15:00:00,132.04737,15,6,False,117.4438811,14.501666666666665,528.0749999999999
2017-03-12 16:00:00,134.6104578,16,6,False,132.04737,13.729166666666666,294.4583333333333
2017-03-12 17:00:00,137.7468183,17,6,False,134.6104578,13.140833333333333,190.6
2017-03-12 18:00:00,137.1900803,18,6,False,137.7468183,12.165,23.754916666666656
2017-03-12 19:00:00,135.8666764,19,6,False,137.1900803,11.608333333333333,0.05533333333333334
2017-03-12 20:00:00,138.0143037,20,6,False,135.8666764,11.505833333333333,0.03916666666666667
2017-03-12 21:00:00,133.2351475,21,6,False,138.0143037,11.528333333333334,0.0715
2017-03-12 22:00:00,135.4047513,22,6,False,133.2351475,11.34153846153846,0.10861538461538461
2017-03-12 23:00:00,134.0154179,23,6,False,135.4047513,11.266666666666666,0.15441666666666667
2017-03-13 00:00:00,130.0125554,0,0,False,134.0154179,11.125833333333334,0.11541666666666667
2017-03-13 01:00:00,130.7532681,1,0,False,130.0125554,10.960833333333333,0.25608333333333333
2017-03-13 02:00:00,128.7963131,2,0,False,130.7532681,10.882500000000002,0.10625000000000001
2017-03-13 03:00:00,125.5550933,3,0,False,128.7963131,10.654166666666667,0.12691666666666668
2017-03-13 04:00:00,123.4432563,4,0,False,125.5550933,10.303333333333333,0.32083333333333336
2017-03-13 05:00:00,128.3186905,5,0,False,123.4432563,9.9325,0.4246666666666667
2017-03-13 06:00:00,145.0716904,6,0,False,128.3186905,9.934166666666668,1.8233333333333335
2017-03-13 07:00:00,170.0202504,7,0,False,145.0716904,10.226666666666668,85.7275
2017-03-13 08:00:00,223.0476612,8,0,False,170.0202504,10.843333333333332,264.95833333333337
2017-03-13 09:00:00,278.6209972,9,0,False,223.0476612,11.718333333333334,450.2083333333334
2017-03-13 10:00:00,315.6742134,10,0,False,278.6209972,12.635833333333332,602.1833333333334
2017-03-13 11:00:00,311.8917438,11,0,False,315.6742134,13.200833333333335,705.8166666666666
2017-03-13 12:00:00,305.2393526,12,0,False,311.8917438,14.006666666666668,756.4166666666666
2017-03-13 13:00:00,299.2711631,13,0,False,305.2393526,14.302500000000002,730.225
2017-03-13 14:00:00,309.4456547,14,0,False,299.2711631,14.738333333333335,676.7333333333332
2017-03-13 15:00:00,303.9414833,15,0,False,309.4456547,15.026923076923081,543.4000000000001
2017-03-13 16:00:00,300.1646648,16,0,False,303.9414833,14.653333333333334,370.2749999999999
2017-03-13 17:00:00,268.222136,17,0,False,300.1646648,14.053333333333335,179.30833333333337
2017-03-13 18:00:00,245.021231,18,0,False,268.222136,13.365833333333333,25.493916666666674
2017-03-13 19:00:00,205.1338835,19,0,False,245.021231,12.707500000000001,0.17291666666666664
2017-03-13 20:00:00,162.2650575,20,0,False,205.1338835,12.768333333333333,0.11533333333333334
2017-03-13 21:00:00,153.64713,21,0,False,162.2650575,12.74,0.12925
2017-03-13 22:00:00,149.4990133,22,0,False,153.64713,12.852857142857143,0.11857142857142858
2017-03-21 07:00:00,163.5493223,7,1,False,136.3769498,12.84818181818182,39.305454545454545
2017-03-21 08:00:00,224.6645037,8,1,False,163.5493223,12.956666666666665,94.395
2017-03-21 09:00:00,277.6663799,9,1,False,224.6645037,13.058333333333335,256.8583333333333
2017-03-21 10:00:00,309.822604,10,1,False,277.6663799,12.848333333333334,341.94166666666666
2017-03-21 11:00:00,314.3326004,11,1,False,309.822604,13.783333333333331,573.0333333333333
